MovementID,CompanyID,PartyID,PartyName,PartyType,FirstTransactionDate,LastTransactionDate,TotalSalesValue,TotalPurchaseValue,TransactionCount,DaysSinceLastTxn,Status,SalesPerson,City,State,CreatedAt,UpdatedAt
CMOV-0001,COMP-0001,PTY-0001,A1 Traders,Customer,2024-01-15,2024-04-25,259000,0,8,6,Active,Rajesh Kumar,Mumbai,Maharashtra,2024-04-25 10:00:00,2024-05-01 08:00:00
CMOV-0002,COMP-0001,PTY-0002,B2 Suppliers,Supplier,2024-01-20,2024-05-28,0,368000,7,0,Active,Unassigned,Ahmedabad,Gujarat,2024-05-28 14:00:00,2024-05-01 08:00:00
CMOV-0003,COMP-0001,PTY-0003,C3 Distributors,Customer,2024-01-25,2024-05-25,260000,0,6,6,Active,Amit Shah,Pune,Maharashtra,2024-05-25 10:00:00,2024-05-01 08:00:00
CMOV-0004,COMP-0001,PTY-0004,D4 Wholesalers,Supplier,2024-01-30,2024-06-02,0,174400,5,0,Active,Unassigned,Surat,Gujarat,2024-06-02 15:00:00,2024-05-01 08:00:00
CMOV-0005,COMP-0001,PTY-0005,E5 Retailers,Customer,2024-02-01,2024-05-30,104500,0,4,1,Active,Vikram Singh,Delhi,Delhi,2024-05-30 11:00:00,2024-05-01 08:00:00
CMOV-0006,COMP-0001,PTY-0006,F6 Manufacturers,Supplier,2024-02-05,2024-03-15,0,65000,2,47,Dormant,Unassigned,Kolkata,West Bengal,2024-03-15 10:00:00,2024-05-01 08:00:00
CMOV-0007,COMP-0001,PTY-0007,G7 Enterprises,Both,2024-02-10,2024-04-22,76300,0,3,9,Active,Rohit Joshi,Chennai,Tamil Nadu,2024-04-22 13:00:00,2024-05-01 08:00:00
CMOV-0008,COMP-0001,PTY-0008,H8 Traders,Supplier,2024-02-15,2024-05-18,0,7080,3,13,Active,Unassigned,Bangalore,Karnataka,2024-05-18 11:00:00,2024-05-01 08:00:00
CMOV-0009,COMP-0001,PTY-0009,I9 Suppliers,Supplier,2024-02-20,2024-04-28,0,70800,2,3,Active,Unassigned,Hyderabad,Telangana,2024-04-28 15:00:00,2024-05-01 08:00:00
CMOV-0010,COMP-0001,PTY-0010,J10 Retail,Customer,2024-02-25,2024-04-25,53100,0,2,6,Active,Meera Iyer,Mumbai,Maharashtra,2024-04-25 10:00:00,2024-05-01 08:00:00
CMOV-0011,COMP-0002,PTY-0011,Textile Corp,Customer,2024-01-20,2024-04-28,157500,0,3,3,Active,Jay Mehta,Ahmedabad,Gujarat,2024-04-28 11:00:00,2024-05-01 08:00:00
CMOV-0012,COMP-0002,PTY-0012,Cotton World,Supplier,2024-01-25,2024-04-05,0,210000,2,26,Active,Unassigned,Tiruppur,Tamil Nadu,2024-04-05 14:00:00,2024-05-01 08:00:00
CMOV-0013,COMP-0002,PTY-0013,Fabric Plus,Customer,2024-02-01,2024-06-05,284000,0,4,0,Active,Aakash Bansal,Surat,Gujarat,2024-06-05 10:00:00,2024-05-01 08:00:00
CMOV-0014,COMP-0002,PTY-0014,Thread Industries,Supplier,2024-02-05,2024-02-20,0,42000,1,71,Dormant,Unassigned,Mumbai,Maharashtra,2024-02-20 12:30:00,2024-05-01 08:00:00
CMOV-0015,COMP-0002,PTY-0015,Garment Hub,Customer,2024-02-10,2024-04-28,99750,0,2,3,Active,Manoj Tiwari,Delhi,Delhi,2024-04-28 11:00:00,2024-05-01 08:00:00
CMOV-0016,COMP-0003,PTY-0016,Electro World,Customer,2024-02-01,2024-04-03,708000,0,3,28,Dormant,Ritu Malhotra,Bangalore,Karnataka,2024-04-03 10:30:00,2024-05-01 08:00:00
CMOV-0017,COMP-0003,PTY-0017,Tech Supplies,Supplier,2024-02-05,2024-04-08,0,531000,2,23,Active,Unassigned,Hyderabad,Telangana,2024-04-08 15:00:00,2024-05-01 08:00:00
CMOV-0018,COMP-0003,PTY-0018,Gadget Zone,Customer,2024-02-10,2024-04-15,150000,0,2,16,Active,Anita Desai,Pune,Maharashtra,2024-04-15 11:00:00,2024-05-01 08:00:00
CMOV-0019,COMP-0003,PTY-0019,Digital Mart,Customer,2024-02-15,2024-06-08,763000,0,4,0,Active,Vinay Agarwal,Chennai,Tamil Nadu,2024-06-08 11:00:00,2024-05-01 08:00:00
CMOV-0020,COMP-0003,PTY-0020,Mobile Store,Customer,2024-02-20,2024-05-01,295000,0,2,0,Active,Sunita Kapoor,Mumbai,Maharashtra,2024-05-01 10:00:00,2024-05-01 08:00:00
CMOV-0021,COMP-0004,PTY-0021,Food Palace,Customer,2024-02-10,2024-04-05,168000,0,3,26,Active,Rakesh Bhattacharya,Chennai,Tamil Nadu,2024-04-05 12:00:00,2024-05-01 08:00:00
CMOV-0022,COMP-0004,PTY-0022,Spice World,Supplier,2024-02-15,2024-04-10,0,126000,2,21,Active,Unassigned,Kochi,Kerala,2024-04-10 14:00:00,2024-05-01 08:00:00
CMOV-0023,COMP-0004,PTY-0023,Grain Traders,Supplier,2024-02-20,2024-06-10,0,231000,3,0,Active,Unassigned,Indore,Madhya Pradesh,2024-06-10 09:00:00,2024-05-01 08:00:00
CMOV-0024,COMP-0004,PTY-0024,Dairy Fresh,Supplier,2024-02-25,2024-03-01,0,18000,1,61,Dormant,Unassigned,Anand,Gujarat,2024-03-01 11:00:00,2024-05-01 08:00:00
CMOV-0025,COMP-0004,PTY-0025,Veg Market,Customer,2024-03-01,2024-05-03,94500,0,2,0,Active,Nilesh Bhatt,Mumbai,Maharashtra,2024-05-03 09:00:00,2024-05-01 08:00:00
CMOV-0026,COMP-0005,PTY-0026,Auto Zone,Customer,2024-02-15,2024-04-08,212400,0,3,23,Active,Hema Choudhury,Pune,Maharashtra,2024-04-08 10:00:00,2024-05-01 08:00:00
CMOV-0027,COMP-0005,PTY-0027,Parts Supply,Supplier,2024-02-20,2024-04-12,0,295000,2,19,Active,Unassigned,Delhi,Delhi,2024-04-12 11:00:00,2024-05-01 08:00:00
CMOV-0028,COMP-0005,PTY-0028,Tyre World,Supplier,2024-02-25,2024-03-15,0,40000,1,47,Dormant,Unassigned,Jalandhar,Punjab,2024-03-15 11:00:00,2024-05-01 08:00:00
CMOV-0029,COMP-0005,PTY-0029,Service Center,Customer,2024-03-01,2024-03-01,18000,0,1,61,Dormant,Tushar Ghosh,Ahmedabad,Gujarat,2024-03-01 11:30:00,2024-05-01 08:00:00
CMOV-0030,COMP-0005,PTY-0030,Garage Plus,Customer,2024-03-05,2024-05-05,176500,0,3,0,Active,Disha Patel,Mumbai,Maharashtra,2024-05-05 12:00:00,2024-05-01 08:00:00
CMOV-0031,COMP-0006,PTY-0031,Pharma Corp,Customer,2024-03-01,2024-04-10,560000,0,3,21,Active,Hardik Shah,Hyderabad,Telangana,2024-04-10 09:00:00,2024-05-01 08:00:00
CMOV-0032,COMP-0006,PTY-0032,Medical Supplies,Supplier,2024-03-05,2024-04-15,0,448000,2,16,Active,Unassigned,Mumbai,Maharashtra,2024-04-15 14:00:00,2024-05-01 08:00:00
CMOV-0033,COMP-0006,PTY-0033,Drug Distributors,Supplier,2024-03-10,2024-03-20,0,52000,1,42,Dormant,Unassigned,Delhi,Delhi,2024-03-20 12:00:00,2024-05-01 08:00:00
CMOV-0034,COMP-0006,PTY-0034,Hospital Plus,Customer,2024-03-15,2024-05-08,201600,0,2,0,Active,Dipali Naidu,Bangalore,Karnataka,2024-05-08 16:00:00,2024-05-01 08:00:00
CMOV-0035,COMP-0006,PTY-0035,Clinic World,Customer,2024-03-20,2024-03-20,22000,0,1,42,Dormant,Ekta Sharma,Chennai,Tamil Nadu,2024-03-20 09:00:00,2024-05-01 08:00:00
CMOV-0036,COMP-0007,PTY-0036,Steel Corp,Customer,2024-03-05,2024-04-12,944000,0,3,19,Active,Falguni Mehta,Kolkata,West Bengal,2024-04-12 10:00:00,2024-05-01 08:00:00
CMOV-0037,COMP-0007,PTY-0037,Iron Works,Supplier,2024-03-10,2024-04-18,0,708000,2,13,Active,Unassigned,Raipur,Chhattisgarh,2024-04-18 11:00:00,2024-05-01 08:00:00
CMOV-0038,COMP-0007,PTY-0038,Metal Traders,Supplier,2024-03-15,2024-03-25,0,42000,1,37,Dormant,Unassigned,Mumbai,Maharashtra,2024-03-25 09:00:00,2024-05-01 08:00:00
CMOV-0039,COMP-0007,PTY-0039,Construction Co,Customer,2024-03-20,2024-05-10,377600,0,2,0,Active,Ishan Trivedi,Delhi,Delhi,2024-05-10 09:00:00,2024-05-01 08:00:00
CMOV-0040,COMP-0007,PTY-0040,Builder World,Customer,2024-03-25,2024-03-25,28000,0,1,37,Dormant,Jigna Patel,Pune,Maharashtra,2024-03-25 10:00:00,2024-05-01 08:00:00
CMOV-0041,COMP-0008,PTY-0041,Fashion Hub,Customer,2024-03-10,2024-04-15,367500,0,3,16,Active,Kalpesh Vora,Delhi,Delhi,2024-04-15 09:30:00,2024-05-01 08:00:00
CMOV-0042,COMP-0008,PTY-0042,Textile Suppliers,Supplier,2024-03-15,2024-04-20,0,294000,2,11,Active,Unassigned,Surat,Gujarat,2024-04-20 10:30:00,2024-05-01 08:00:00
CMOV-0043,COMP-0008,PTY-0043,Cloth World,Supplier,2024-03-20,2024-03-30,0,58000,1,32,Dormant,Unassigned,Ahmedabad,Gujarat,2024-03-30 11:30:00,2024-05-01 08:00:00
CMOV-0044,COMP-0008,PTY-0044,Boutique Plus,Customer,2024-03-25,2024-05-12,189000,0,2,0,Active,Nita Parekh,Mumbai,Maharashtra,2024-05-12 12:30:00,2024-05-01 08:00:00
CMOV-0045,COMP-0008,PTY-0045,Style Store,Customer,2024-04-01,2024-04-01,32000,0,1,30,Dormant,Ojas Mehta,Bangalore,Karnataka,2024-04-01 08:00:00,2024-05-01 08:00:00
CMOV-0046,COMP-0009,PTY-0046,Electronics Plus,Customer,2024-03-05,2024-04-20,177000,0,2,11,Active,Priyal Joshi,Mumbai,Maharashtra,2024-04-20 11:30:00,2024-05-01 08:00:00
CMOV-0047,COMP-0010,PTY-0047,Plastic World,Customer,2024-03-20,2024-04-22,259600,0,2,9,Active,Quasar Tech,Indore,Madhya Pradesh,2024-04-22 14:30:00,2024-05-01 08:00:00
CMOV-0048,COMP-0010,PTY-0048,Polymer Supplies,Supplier,2024-03-25,2024-04-05,0,62000,1,26,Active,Unassigned,Vadodara,Gujarat,2024-04-05 08:00:00,2024-05-01 08:00:00
CMOV-0049,COMP-0011,PTY-0049,Agro Fresh,Customer,2024-04-01,2024-04-01,28000,0,1,30,Dormant,Sagar Patel,Jaipur,Rajasthan,2024-04-01 08:00:00,2024-05-01 08:00:00
CMOV-0050,COMP-0012,PTY-0050,Furniture Hub,Customer,2024-04-05,2024-04-05,45000,0,1,26,Dormant,Tulsi Nair,Ludhiana,Punjab,2024-04-05 09:00:00,2024-05-01 08:00:00
