GeoID,CompanyID,State,City,PartyCount,TotalSalesValue,TotalPurchaseValue,TotalOutstanding,TopCustomers,TopItems,PeriodStart,PeriodEnd,CreatedAt,UpdatedAt
GEO-0001,COMP-0001,Maharashtra,Mumbai,5,512600,130000,75000,A1 Traders;C3 Distributors;J10 Retail,iPhone 15;Samsung S24;HP Pavilion,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0002,COMP-0001,Maharashtra,Pune,2,335300,0,32000,C3 Distributors;G7 Enterprises,iPhone 15;OnePlus 12,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0003,COMP-0001,Gujarat,Ahmedabad,1,0,368000,0,B2 Suppliers,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0004,COMP-0001,Gujarat,Surat,1,0,174400,0,D4 Wholesalers,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0005,COMP-0001,Delhi,Delhi,1,104500,0,5000,E5 Retailers,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0006,COMP-0001,West Bengal,Kolkata,1,0,65000,0,F6 Manufacturers,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0007,COMP-0001,Tamil Nadu,Chennai,1,41300,0,12000,G7 Enterprises,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0008,COMP-0001,Karnataka,Bangalore,1,0,7080,0,H8 Traders,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0009,COMP-0001,Telangana,Hyderabad,1,0,70800,0,I9 Suppliers,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0010,COMP-0002,Gujarat,Ahmedabad,2,157500,0,28000,Textile Corp,Cotton Silk Saree;Pure Silk Saree,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0011,COMP-0002,Gujarat,Surat,2,284000,0,35000,Fabric Plus,Cotton Shirt;Jeans Pant,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0012,COMP-0002,Tamil Nadu,Tiruppur,1,0,210000,0,Cotton World,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0013,COMP-0002,Maharashtra,Mumbai,1,0,42000,0,Thread Industries,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0014,COMP-0002,Delhi,Delhi,1,99750,0,20000,Garment Hub,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0015,COMP-0003,Karnataka,Bangalore,2,858000,0,45000,Electro World,iPhone 15;Dell XPS 15,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0016,COMP-0003,Telangana,Hyderabad,1,0,531000,0,Tech Supplies,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0017,COMP-0003,Maharashtra,Pune,1,150000,0,28000,Gadget Zone,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0018,COMP-0003,Tamil Nadu,Chennai,2,763000,0,38000,Digital Mart,Realme 12 Pro;Vivo V30,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0019,COMP-0003,Maharashtra,Mumbai,1,295000,0,55000,Mobile Store,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0020,COMP-0004,Tamil Nadu,Chennai,1,168000,0,22000,Food Palace,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0021,COMP-0004,Kerala,Kochi,1,0,126000,0,Spice World,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0022,COMP-0004,Madhya Pradesh,Indore,1,0,231000,0,Grain Traders,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0023,COMP-0004,Gujarat,Anand,1,0,18000,0,Dairy Fresh,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0024,COMP-0005,Maharashtra,Pune,3,388900,0,32000,Auto Zone,Garage Plus,Spark Plug;Car Battery,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0025,COMP-0005,Delhi,Delhi,1,0,295000,0,Parts Supply,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0026,COMP-0005,Punjab,Jalandhar,1,0,40000,0,Tyre World,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0027,COMP-0006,Telangana,Hyderabad,1,560000,0,48000,Pharma Corp,Paracetamol 500mg;Cough Syrup,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0028,COMP-0006,Maharashtra,Mumbai,2,0,466000,0,Medical Supplies,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0029,COMP-0006,Delhi,Delhi,1,0,52000,0,Drug Distributors,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0030,COMP-0006,Karnataka,Bangalore,1,201600,0,35000,Hospital Plus,,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
