StatusID,CompanyID,ItemID,ItemName,CurrentStock,SalesVelocity30d,IsUnderstock,IsOverstock,IsPopular,DaysOfStock,ReorderLevel,StockValue,LastSaleDate,LastPurchaseDate,CreatedAt,UpdatedAt
ISS-0001,COMP-0001,ITM-0001,iPhone 15,35,8,FALSE,FALSE,TRUE,4,10,2275000,2024-04-25,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0002,COMP-0001,ITM-0002,Samsung S24,35,6,FALSE,FALSE,TRUE,6,10,1925000,2024-04-28,2024-04-25,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0003,COMP-0001,ITM-0003,OnePlus 12,23,5,FALSE,FALSE,FALSE,5,8,966000,2024-04-22,2024-04-15,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0004,COMP-0001,ITM-0004,Dell XPS 15,15,3,FALSE,FALSE,TRUE,5,5,1800000,2024-04-20,2024-03-10,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0005,COMP-0001,ITM-0005,HP Pavilion,32,4,FALSE,FALSE,FALSE,8,8,1760000,2024-04-18,2024-04-10,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0006,COMP-0002,ITM-0006,Cotton Silk Saree,75,15,FALSE,FALSE,TRUE,5,20,262500,2024-04-28,2024-04-05,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0007,COMP-0002,ITM-0007,Pure Silk Saree,35,8,FALSE,FALSE,FALSE,4,10,350000,2024-04-25,2024-04-12,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0008,COMP-0002,ITM-0008,Cotton Shirt,140,25,FALSE,FALSE,FALSE,6,30,126000,2024-04-30,2024-04-18,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0009,COMP-0002,ITM-0009,Jeans Pant,105,18,FALSE,FALSE,TRUE,6,25,157500,2024-04-28,2024-04-22,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0010,COMP-0003,ITM-0010,Realme 12 Pro,55,12,FALSE,FALSE,FALSE,5,15,1210000,2024-04-22,2024-04-28,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0011,COMP-0003,ITM-0011,Vivo V30,43,10,FALSE,FALSE,FALSE,4,12,1118000,2024-04-20,2024-04-25,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0012,COMP-0003,ITM-0012,Nokia Basic,120,40,FALSE,FALSE,TRUE,3,30,144000,2024-04-30,2024-04-15,2024-05-01 08:00:00,2024-05-01 08:00:00
