BatchID,CompanyID,ItemID,BatchNo,Quantity,InwardDate,MfgDate,ExpDate,Rate,Value,AgeingDays,AgeingBucket,Location,CreatedAt,UpdatedAt
BAT-0001,COMP-0001,ITM-0001,BTH-2024-001,15,2024-03-15,2024-01-01,2025-12-31,65000,975000,47,31-60,Warehouse-A,2024-03-15 10:00:00,2024-05-01 08:00:00
BAT-0002,COMP-0001,ITM-0001,BTH-2024-002,20,2024-04-20,2024-02-01,2026-01-31,65000,1300000,11,0-30,Warehouse-A,2024-04-20 14:00:00,2024-05-01 08:00:00
BAT-0003,COMP-0001,ITM-0002,BTH-2024-003,25,2024-03-20,2024-01-15,2025-12-15,55000,1375000,42,31-60,Warehouse-A,2024-03-20 11:00:00,2024-05-01 08:00:00
BAT-0004,COMP-0001,ITM-0002,BTH-2024-004,10,2024-04-25,2024-02-15,2026-02-28,55000,550000,6,0-30,Warehouse-B,2024-04-25 09:00:00,2024-05-01 08:00:00
BAT-0005,COMP-0001,ITM-0003,BTH-2024-005,15,2024-04-01,2024-01-01,2025-06-30,42000,630000,30,0-30,Warehouse-A,2024-04-01 10:00:00,2024-05-01 08:00:00
BAT-0006,COMP-0001,ITM-0003,BTH-2024-006,8,2024-04-15,2024-02-01,2025-07-31,42000,336000,16,0-30,Warehouse-B,2024-04-15 14:00:00,2024-05-01 08:00:00
BAT-0007,COMP-0001,ITM-0004,BTH-2024-007,10,2024-03-10,2024-01-01,2025-12-31,120000,1200000,52,31-60,Warehouse-A,2024-03-10 11:00:00,2024-05-01 08:00:00
BAT-0008,COMP-0001,ITM-0004,BTH-2024-008,5,2024-04-22,2024-02-01,2026-01-31,120000,600000,9,0-30,Warehouse-B,2024-04-22 15:00:00,2024-05-01 08:00:00
BAT-0009,COMP-0001,ITM-0005,BTH-2024-009,20,2024-03-25,2024-01-15,2025-12-15,55000,1100000,37,31-60,Warehouse-A,2024-03-25 10:00:00,2024-05-01 08:00:00
BAT-0010,COMP-0001,ITM-0005,BTH-2024-010,12,2024-04-28,2024-02-15,2026-02-28,55000,660000,3,0-30,Warehouse-B,2024-04-28 09:00:00,2024-05-01 08:00:00
BAT-0011,COMP-0002,ITM-0006,BTH-2024-011,40,2024-03-01,2024-01-01,2025-06-30,3500,140000,61,61-90,Warehouse-C,2024-03-01 10:00:00,2024-05-01 08:00:00
BAT-0012,COMP-0002,ITM-0006,BTH-2024-012,35,2024-04-05,2024-02-01,2025-07-31,3500,122500,26,0-30,Warehouse-C,2024-04-05 11:00:00,2024-05-01 08:00:00
BAT-0013,COMP-0002,ITM-0007,BTH-2024-013,20,2024-03-10,2024-01-15,2025-08-15,10000,200000,52,31-60,Warehouse-C,2024-03-10 14:00:00,2024-05-01 08:00:00
BAT-0014,COMP-0002,ITM-0007,BTH-2024-014,15,2024-04-12,2024-02-15,2026-02-28,10000,150000,19,0-30,Warehouse-C,2024-04-12 09:00:00,2024-05-01 08:00:00
BAT-0015,COMP-0002,ITM-0008,BTH-2024-015,80,2024-03-15,2024-01-01,2025-12-31,900,72000,47,31-60,Warehouse-C,2024-03-15 10:00:00,2024-05-01 08:00:00
BAT-0016,COMP-0002,ITM-0008,BTH-2024-016,60,2024-04-18,2024-02-01,2026-01-31,900,54000,13,0-30,Warehouse-C,2024-04-18 11:00:00,2024-05-01 08:00:00
BAT-0017,COMP-0002,ITM-0009,BTH-2024-017,50,2024-03-20,2024-01-15,2025-12-15,1500,75000,42,31-60,Warehouse-C,2024-03-20 14:00:00,2024-05-01 08:00:00
BAT-0018,COMP-0002,ITM-0009,BTH-2024-018,45,2024-04-22,2024-02-15,2026-02-28,1500,67500,9,0-30,Warehouse-C,2024-04-22 09:00:00,2024-05-01 08:00:00
BAT-0019,COMP-0003,ITM-0010,BTH-2024-019,30,2024-03-25,2024-01-01,2025-06-30,22000,660000,37,31-60,Warehouse-D,2024-03-25 10:00:00,2024-05-01 08:00:00
BAT-0020,COMP-0003,ITM-0010,BTH-2024-020,25,2024-04-28,2024-02-01,2025-07-31,22000,550000,3,0-30,Warehouse-D,2024-04-28 11:00:00,2024-05-01 08:00:00
BAT-0021,COMP-0003,ITM-0011,BTH-2024-021,25,2024-03-30,2024-01-15,2025-08-15,26000,650000,32,31-60,Warehouse-D,2024-03-30 14:00:00,2024-05-01 08:00:00
BAT-0022,COMP-0003,ITM-0011,BTH-2024-022,18,2024-04-25,2024-02-15,2026-02-28,26000,468000,6,0-30,Warehouse-D,2024-04-25 09:00:00,2024-05-01 08:00:00
BAT-0023,COMP-0003,ITM-0012,BTH-2024-023,100,2024-03-05,2024-01-01,2025-12-31,1200,120000,57,31-60,Warehouse-D,2024-03-05 10:00:00,2024-05-01 08:00:00
BAT-0024,COMP-0003,ITM-0012,BTH-2024-024,80,2024-04-15,2024-02-01,2026-01-31,1200,96000,16,0-30,Warehouse-D,2024-04-15 11:00:00,2024-05-01 08:00:00
BAT-0025,COMP-0003,ITM-0013,BTH-2024-025,8,2024-03-10,2024-01-15,2025-12-15,95000,760000,52,31-60,Warehouse-D,2024-03-10 14:00:00,2024-05-01 08:00:00
BAT-0026,COMP-0003,ITM-0013,BTH-2024-026,5,2024-04-20,2024-02-15,2026-02-28,95000,475000,11,0-30,Warehouse-D,2024-04-20 09:00:00,2024-05-01 08:00:00
BAT-0027,COMP-0004,ITM-0014,BTH-2024-027,80,2024-02-15,2024-01-01,2025-06-30,120,9600,76,61-90,Warehouse-E,2024-02-15 10:00:00,2024-05-01 08:00:00
BAT-0028,COMP-0004,ITM-0014,BTH-2024-028,60,2024-04-01,2024-02-01,2025-07-31,120,7200,30,0-30,Warehouse-E,2024-04-01 11:00:00,2024-05-01 08:00:00
BAT-0029,COMP-0004,ITM-0015,BTH-2024-029,150,2024-02-20,2024-01-15,2025-08-15,150,22500,71,61-90,Warehouse-E,2024-02-20 14:00:00,2024-05-01 08:00:00
BAT-0030,COMP-0004,ITM-0015,BTH-2024-030,120,2024-04-05,2024-02-15,2026-02-28,150,18000,26,0-30,Warehouse-E,2024-04-05 09:00:00,2024-05-01 08:00:00
BAT-0031,COMP-0004,ITM-0016,BTH-2024-031,400,2024-02-25,2024-01-01,2025-12-31,80,32000,66,61-90,Warehouse-E,2024-02-25 10:00:00,2024-05-01 08:00:00
BAT-0032,COMP-0004,ITM-0016,BTH-2024-032,350,2024-04-10,2024-02-01,2026-01-31,80,28000,21,0-30,Warehouse-E,2024-04-10 11:00:00,2024-05-01 08:00:00
BAT-0033,COMP-0004,ITM-0017,BTH-2024-033,800,2024-03-01,2024-01-15,2025-12-15,30,24000,61,61-90,Warehouse-E,2024-03-01 14:00:00,2024-05-01 08:00:00
BAT-0034,COMP-0004,ITM-0017,BTH-2024-034,700,2024-04-15,2024-02-15,2026-02-28,30,21000,16,0-30,Warehouse-E,2024-04-15 09:00:00,2024-05-01 08:00:00
BAT-0035,COMP-0005,ITM-0018,BTH-2024-035,50,2024-02-15,2024-01-01,2025-06-30,200,10000,76,61-90,Warehouse-F,2024-02-15 10:00:00,2024-05-01 08:00:00
BAT-0036,COMP-0005,ITM-0018,BTH-2024-036,40,2024-04-20,2024-02-01,2025-07-31,200,8000,11,0-30,Warehouse-F,2024-04-20 11:00:00,2024-05-01 08:00:00
BAT-0037,COMP-0005,ITM-0019,BTH-2024-037,15,2024-02-20,2024-01-15,2025-08-15,3500,52500,71,61-90,Warehouse-F,2024-02-20 14:00:00,2024-05-01 08:00:00
BAT-0038,COMP-0005,ITM-0019,BTH-2024-038,12,2024-04-25,2024-02-15,2026-02-28,3500,42000,6,0-30,Warehouse-F,2024-04-25 09:00:00,2024-05-01 08:00:00
BAT-0039,COMP-0005,ITM-0020,BTH-2024-039,20,2024-02-25,2024-01-01,2025-12-31,3200,64000,66,61-90,Warehouse-F,2024-02-25 10:00:00,2024-05-01 08:00:00
BAT-0040,COMP-0005,ITM-0020,BTH-2024-040,15,2024-04-28,2024-02-01,2026-01-31,3200,48000,3,0-30,Warehouse-F,2024-04-28 11:00:00,2024-05-01 08:00:00
BAT-0041,COMP-0006,ITM-0021,BTH-2024-041,200,2024-03-01,2024-01-15,2025-12-15,15,3000,61,61-90,Warehouse-G,2024-03-01 14:00:00,2024-05-01 08:00:00
BAT-0042,COMP-0006,ITM-0021,BTH-2024-042,150,2024-04-15,2024-02-15,2026-02-28,15,2250,16,0-30,Warehouse-G,2024-04-15 09:00:00,2024-05-01 08:00:00
BAT-0043,COMP-0006,ITM-0022,BTH-2024-043,80,2024-03-05,2024-01-01,2025-06-30,55,4400,57,31-60,Warehouse-G,2024-03-05 10:00:00,2024-05-01 08:00:00
BAT-0044,COMP-0006,ITM-0022,BTH-2024-044,60,2024-04-18,2024-02-01,2025-07-31,55,3300,13,0-30,Warehouse-G,2024-04-18 11:00:00,2024-05-01 08:00:00
BAT-0045,COMP-0006,ITM-0023,BTH-2024-045,60,2024-03-10,2024-01-15,2025-12-15,100,6000,52,31-60,Warehouse-G,2024-03-10 14:00:00,2024-05-01 08:00:00
BAT-0046,COMP-0006,ITM-0023,BTH-2024-046,45,2024-04-22,2024-02-15,2026-02-28,100,4500,9,0-30,Warehouse-G,2024-04-22 09:00:00,2024-05-01 08:00:00
BAT-0047,COMP-0007,ITM-0024,BTH-2024-047,30,2024-03-05,2024-01-01,2025-06-30,1800,54000,57,31-60,Warehouse-H,2024-03-05 10:00:00,2024-05-01 08:00:00
BAT-0048,COMP-0007,ITM-0024,BTH-2024-048,15,2024-04-20,2024-02-01,2025-07-31,1800,27000,11,0-30,Warehouse-H,2024-04-20 11:00:00,2024-05-01 08:00:00
BAT-0049,COMP-0007,ITM-0025,BTH-2024-049,12,2024-03-10,2024-01-15,2025-12-15,42000,504000,52,31-60,Warehouse-H,2024-03-10 14:00:00,2024-05-01 08:00:00
BAT-0050,COMP-0007,ITM-0025,BTH-2024-050,8,2024-04-25,2024-02-15,2026-02-28,42000,336000,6,0-30,Warehouse-H,2024-04-25 09:00:00,2024-05-01 08:00:00
