LogID,CompanyID,WorkflowID,WorkflowName,TriggerType,StartTime,EndTime,Status,RecordsProcessed,ErrorMessage,DurationSeconds,CreatedAt
LOG-0001,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-01 02:00:00,2024-04-01 02:00:15,Success,3,,15,2024-04-01 02:00:00
LOG-0002,COMP-0001,WF-02,02_Tally_Ledger_Sync,Scheduled,2024-04-01 02:15:00,2024-04-01 02:15:45,Success,25,,45,2024-04-01 02:15:00
LOG-0003,COMP-0001,WF-03,03_Tally_Party_Sync,Scheduled,2024-04-01 02:30:00,2024-04-01 02:31:00,Success,10,,60,2024-04-01 02:30:00
LOG-0004,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-01 03:00:00,2024-04-01 03:02:30,Success,25,,150,2024-04-01 03:00:00
LOG-0005,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-01 03:30:00,2024-04-01 03:32:00,Success,49,,120,2024-04-01 03:30:00
LOG-0006,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-02 02:00:00,2024-04-02 02:00:12,Success,3,,12,2024-04-02 02:00:00
LOG-0007,COMP-0001,WF-02,02_Tally_Ledger_Sync,Scheduled,2024-04-02 02:15:00,2024-04-02 02:15:40,Success,25,,40,2024-04-02 02:15:00
LOG-0008,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-02 03:00:00,2024-04-02 03:02:15,Success,5,,135,2024-04-02 03:00:00
LOG-0009,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-02 03:30:00,2024-04-02 03:31:30,Success,49,,90,2024-04-02 03:30:00
LOG-0010,COMP-0001,WF-10,10_Tally_Outstanding_Sync,Scheduled,2024-04-02 04:00:00,2024-04-02 04:01:00,Success,20,,60,2024-04-02 04:00:00
LOG-0011,COMP-0001,WF-01,01_Tally_Company_Sync,Manual,2024-04-03 10:00:00,2024-04-03 10:00:10,Success,3,,10,2024-04-03 10:00:00
LOG-0012,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-03 03:00:00,2024-04-03 03:01:30,Success,3,,90,2024-04-03 03:00:00
LOG-0013,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-04 02:00:00,2024-04-04 02:00:14,Success,3,,14,2024-04-04 02:00:00
LOG-0014,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-04 03:00:00,2024-04-04 03:02:00,Success,2,,120,2024-04-04 03:00:00
LOG-0015,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-04 03:30:00,2024-04-04 03:31:45,Success,49,,105,2024-04-04 03:30:00
LOG-0016,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-05 02:00:00,2024-04-05 02:00:11,Success,3,,11,2024-04-05 02:00:00
LOG-0017,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-05 03:00:00,2024-04-05 03:01:15,Success,1,,75,2024-04-05 03:00:00
LOG-0018,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-06 02:00:00,2024-04-06 02:00:13,Success,3,,13,2024-04-06 02:00:00
LOG-0019,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-06 03:00:00,2024-04-06 03:01:00,Success,0,,60,2024-04-06 03:00:00
LOG-0020,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-06 03:30:00,2024-04-06 03:32:00,Success,49,,120,2024-04-06 03:30:00
LOG-0021,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-07 02:00:00,2024-04-07 02:00:12,Success,3,,12,2024-04-07 02:00:00
