AccountID,CompanyID,LedgerID,AccountName,OpeningBalance,CurrentBalance,Location,LastSyncDate,IsActive,CreatedAt,UpdatedAt
CA-0001,COMP-0001,LED-0004,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0002,COMP-0002,LED-0014,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0003,COMP-0003,LED-0024,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0004,COMP-0004,LED-0034,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0005,COMP-0005,LED-0044,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0006,COMP-0006,LED-0054,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0007,COMP-0007,LED-0064,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0008,COMP-0008,LED-0074,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0009,COMP-0009,LED-0084,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0010,COMP-0010,LED-0094,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0011,COMP-0011,LED-0104,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0012,COMP-0012,LED-0114,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0013,COMP-0013,LED-0124,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0014,COMP-0014,LED-0134,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0015,COMP-0015,LED-0144,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0016,COMP-0016,LED-0154,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0017,COMP-0017,LED-0164,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0018,COMP-0018,LED-0174,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0019,COMP-0019,LED-0184,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0020,COMP-0020,LED-0194,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0021,COMP-0021,LED-0204,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0022,COMP-0022,LED-0214,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0023,COMP-0023,LED-0224,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0024,COMP-0024,LED-0234,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0025,COMP-0025,LED-0244,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0026,COMP-0026,LED-0254,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0027,COMP-0027,LED-0264,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0028,COMP-0028,LED-0274,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0029,COMP-0029,LED-0284,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
