MovementID,CompanyID,PartyID,PartyName,PartyType,FirstTransactionDate,LastTransactionDate,TotalSalesValue,TotalPurchaseValue,TransactionCount,DaysSinceLastTxn,Status,SalesPerson,City,State,CreatedAt,UpdatedAt
CMOV-0001,COMP-0001,PTY-0001,Neha Sharma Traders,Customer,2024-04-07,2024-05-29,53500,771500,7,-28,Active,Rajesh Kumar,Coimbatore,Tamil Nadu,2024-05-29 00:00:00,2024-05-01 08:00:00
CMOV-0002,COMP-0001,PTY-0002,Amit Gupta Distributors,Supplier,2024-04-29,2024-06-04,1080000,385000,5,-34,Active,Rajesh Kumar,Bangalore,Karnataka,2024-06-04 00:00:00,2024-05-01 08:00:00
CMOV-0003,COMP-0001,PTY-0003,Vikram Patel Traders,Customer,2024-05-26,2024-05-26,0,1350000,2,-25,Active,Amit Shah,Surat,Gujarat,2024-05-26 00:00:00,2024-05-01 08:00:00
CMOV-0004,COMP-0001,PTY-0004,Priya Gupta Distributors,Customer,2024-04-09,2024-06-18,1071500,321000,5,-48,Active,Rajesh Kumar,Pune,Maharashtra,2024-06-18 00:00:00,2024-05-01 08:00:00
CMOV-0005,COMP-0001,PTY-0005,Rajesh Sharma Traders,Customer,2024-06-14,2024-06-29,487700,630500,6,-59,Active,Amit Shah,Surat,Gujarat,2024-06-29 00:00:00,2024-05-01 08:00:00
CMOV-0006,COMP-0001,PTY-0006,Amit Singh Suppliers,Both,2024-04-30,2024-05-25,307000,161500,6,-24,Active,Rajesh Kumar,Delhi,Delhi,2024-05-25 00:00:00,2024-05-01 08:00:00
CMOV-0007,COMP-0001,PTY-0007,Amit Gupta Suppliers,Supplier,2024-04-18,2024-06-24,172500,715000,6,-54,Active,Rajesh Kumar,Ahmedabad,Gujarat,2024-06-24 00:00:00,2024-05-01 08:00:00
CMOV-0008,COMP-0001,PTY-0009,Priya Kumar Traders,Supplier,2024-06-15,2024-06-21,339000,465000,5,-51,Active,Unassigned,Bangalore,Karnataka,2024-06-21 00:00:00,2024-05-01 08:00:00
CMOV-0009,COMP-0001,PTY-0010,Priya Gupta Traders,Customer,2024-04-18,2024-06-16,516400,223800,11,-46,Active,Unassigned,Mysore,Karnataka,2024-06-16 00:00:00,2024-05-01 08:00:00
CMOV-0010,COMP-0001,PTY-0012,Rajesh Gupta Suppliers,Customer,2024-06-24,2024-06-28,98000,346000,4,-58,Active,Amit Shah,Delhi,Delhi,2024-06-28 00:00:00,2024-05-01 08:00:00
CMOV-0011,COMP-0001,PTY-0013,Neha Patel Suppliers,Both,2024-04-13,2024-06-19,1493500,315000,8,-49,Active,Rajesh Kumar,Chennai,Tamil Nadu,2024-06-19 00:00:00,2024-05-01 08:00:00
