GeoID,CompanyID,State,City,PartyCount,TotalSalesValue,TotalPurchaseValue,TotalOutstanding,TopCustomers,TopItems,PeriodStart,PeriodEnd,CreatedAt,UpdatedAt
GEO-0001,COMP-0001,Maharashtra,Mumbai,1,1213500,10500,70209,Amit Gupta Suppliers,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0002,COMP-0001,Maharashtra,Pune,1,1071500,321000,96188,Priya Gupta Distributors,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0003,COMP-0001,Gujarat,Ahmedabad,2,172500,715000,46178,Amit Gupta Suppliers;Vikram Sharma Suppliers,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0004,COMP-0001,Gujarat,Surat,3,724700,2717300,11612,Vikram Patel Traders;Rajesh Sharma Traders;Priya Gupta Distributors,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0005,COMP-0001,Delhi,Delhi,2,405000,507500,69132,Amit Singh Suppliers;Rajesh Gupta Suppliers,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0006,COMP-0001,Karnataka,Bangalore,2,1419000,850000,89791,Amit Gupta Distributors;Priya Kumar Traders,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0007,COMP-0001,Karnataka,Mysore,1,516400,223800,46297,Priya Gupta Traders,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0008,COMP-0001,Tamil Nadu,Chennai,3,3469500,315000,55111,Amit Kumar Suppliers;Neha Patel Suppliers;Amit Gupta Suppliers,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0009,COMP-0001,Tamil Nadu,Coimbatore,1,53500,771500,78103,Neha Sharma Traders,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0010,COMP-0002,Maharashtra,Mumbai,3,1766000,1238000,5996,Priya Sharma Distributors;Neha Sharma Suppliers;Priya Singh Suppliers,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0011,COMP-0002,Maharashtra,Nagpur,2,1708100,248600,45943,Rajesh Singh Suppliers;Amit Kumar Distributors,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0012,COMP-0002,Gujarat,Surat,1,181300,732500,82275,Neha Kumar Traders,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
GEO-0013,COMP-0002,Delhi,Delhi,6,4746500,3045900,4611,Rajesh Kumar Suppliers;Amit Patel Distributors;Neha Gupta Distributors,iPhone 15;Samsung S24,2024-04-01,2024-04-30,2024-05-01 08:00:00,2024-05-01 08:00:00
