GroupID,CompanyID,GroupName,ParentGroup,GroupType,Nature,StatementType,CreatedDate,LastModifiedDate
GRP-0001_COMP-0001,COMP-0001,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0001,COMP-0001,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0001,COMP-0001,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0001,COMP-0001,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0001,COMP-0001,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0001,COMP-0001,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0001,COMP-0001,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0002,COMP-0002,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0002,COMP-0002,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0002,COMP-0002,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0002,COMP-0002,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0002,COMP-0002,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0002,COMP-0002,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0002,COMP-0002,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0003,COMP-0003,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0003,COMP-0003,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0003,COMP-0003,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0003,COMP-0003,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0003,COMP-0003,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0003,COMP-0003,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0003,COMP-0003,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0004,COMP-0004,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0004,COMP-0004,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0004,COMP-0004,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0004,COMP-0004,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0004,COMP-0004,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0004,COMP-0004,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0004,COMP-0004,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0005,COMP-0005,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0005,COMP-0005,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0005,COMP-0005,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0005,COMP-0005,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0005,COMP-0005,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0005,COMP-0005,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0005,COMP-0005,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0006,COMP-0006,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0006,COMP-0006,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0006,COMP-0006,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0006,COMP-0006,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0006,COMP-0006,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0006,COMP-0006,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0006,COMP-0006,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0007,COMP-0007,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0007,COMP-0007,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0007,COMP-0007,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0007,COMP-0007,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0007,COMP-0007,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0007,COMP-0007,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0007,COMP-0007,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0008,COMP-0008,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0008,COMP-0008,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0008,COMP-0008,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0008,COMP-0008,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0008,COMP-0008,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0008,COMP-0008,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0008,COMP-0008,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0009,COMP-0009,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0009,COMP-0009,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0009,COMP-0009,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0009,COMP-0009,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0009,COMP-0009,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0009,COMP-0009,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0009,COMP-0009,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0010,COMP-0010,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0010,COMP-0010,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0010,COMP-0010,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0010,COMP-0010,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0010,COMP-0010,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0010,COMP-0010,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0010,COMP-0010,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0011,COMP-0011,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0011,COMP-0011,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0011,COMP-0011,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0011,COMP-0011,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0011,COMP-0011,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0011,COMP-0011,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0011,COMP-0011,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0012,COMP-0012,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0012,COMP-0012,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0012,COMP-0012,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0012,COMP-0012,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0012,COMP-0012,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0012,COMP-0012,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0012,COMP-0012,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0013,COMP-0013,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0013,COMP-0013,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0013,COMP-0013,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0013,COMP-0013,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0013,COMP-0013,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0013,COMP-0013,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0013,COMP-0013,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0014,COMP-0014,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0014,COMP-0014,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0014,COMP-0014,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0014,COMP-0014,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0014,COMP-0014,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0014,COMP-0014,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0014,COMP-0014,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0015,COMP-0015,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0015,COMP-0015,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0015,COMP-0015,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0015,COMP-0015,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0015,COMP-0015,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0015,COMP-0015,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0015,COMP-0015,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0016,COMP-0016,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0016,COMP-0016,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0016,COMP-0016,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0016,COMP-0016,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0016,COMP-0016,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
