GroupID,GroupName,CategoryID,CreatedAt,UpdatedAt
IGRP-001,Mobile Phones,CAT-001,2024-01-01,2024-05-01
IGRP-002,Laptops,CAT-001,2024-01-01,2024-05-01
IGRP-003,Traditional Wear,CAT-002,2024-01-01,2024-05-01
IGRP-004,Western Wear,CAT-002,2024-01-01,2024-05-01
IGRP-005,Packaged Foods,CAT-003,2024-01-01,2024-05-01
IGRP-006,Beverages,CAT-003,2024-01-01,2024-05-01
IGRP-007,Tools,CAT-004,2024-01-01,2024-05-01
IGRP-008,Fasteners,CAT-004,2024-01-01,2024-05-01
IGRP-009,Spare Parts,CAT-005,2024-01-01,2024-05-01
IGRP-010,Accessories,CAT-005,2024-01-01,2024-05-01
