ItemID,CompanyID,ItemName,CategoryID,Unit,OpeningStock,SaleRate,PurchaseRate,MRP,MinStockLevel,MaxStockLevel,ReorderLevel,Location,HSN,GST,IsActive,CreatedDate,LastModifiedDate
ITM-0001_COMP-0001,COMP-0001,iPhone 15,CAT-001,Pcs,49,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0001,COMP-0001,Samsung S24,CAT-001,Pcs,95,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0001,COMP-0001,OnePlus 12,CAT-001,Pcs,57,42000,29399,46200,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0001,COMP-0001,Dell XPS 15,CAT-001,Pcs,76,120000,84000,132000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0001,COMP-0001,HP Pavilion,CAT-001,Pcs,25,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0001,COMP-0001,Cotton Silk Saree,CAT-001,Pcs,38,3500,2450,3850,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0001,COMP-0001,Pure Silk Saree,CAT-001,Pcs,53,10000,7000,11000,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0001,COMP-0001,Cotton Shirt,CAT-001,Pcs,85,900,630,990,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0001,COMP-0001,Jeans Pant,CAT-001,Pcs,39,1500,1050,1650,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0002,COMP-0002,iPhone 15,CAT-001,Pcs,84,65000,45500,71500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0002,COMP-0002,Samsung S24,CAT-001,Pcs,28,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0002,COMP-0002,OnePlus 12,CAT-001,Pcs,26,42000,29399,46200,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0002,COMP-0002,Dell XPS 15,CAT-001,Pcs,49,120000,84000,132000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0002,COMP-0002,HP Pavilion,CAT-001,Pcs,15,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0002,COMP-0002,Cotton Silk Saree,CAT-001,Pcs,36,3500,2450,3850,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0002,COMP-0002,Pure Silk Saree,CAT-001,Pcs,41,10000,7000,11000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0002,COMP-0002,Cotton Shirt,CAT-001,Pcs,23,900,630,990,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0002,COMP-0002,Jeans Pant,CAT-001,Pcs,81,1500,1050,1650,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0003,COMP-0003,iPhone 15,CAT-001,Pcs,58,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0003,COMP-0003,Samsung S24,CAT-001,Pcs,10,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0003,COMP-0003,OnePlus 12,CAT-001,Pcs,48,42000,29399,46200,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0003,COMP-0003,Dell XPS 15,CAT-001,Pcs,63,120000,84000,132000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0003,COMP-0003,HP Pavilion,CAT-001,Pcs,79,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
