LedgerID,CompanyID,LedgerName,GroupID,OpeningBalance,ClosingBalance,IsActive,CreatedDate,LastModifiedDate
LED-0001,COMP-0001,Capital Account,GRP-0001_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0002,COMP-0001,Bank of India,GRP-0002_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0003,COMP-0001,HDFC Bank,GRP-0002_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0004,COMP-0001,Cash,GRP-0003_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0005,COMP-0001,Sales Account,GRP-0004_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0006,COMP-0001,Purchase Account,GRP-0005_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0007,COMP-0001,Salary,GRP-0006_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0008,COMP-0001,Rent,GRP-0006_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0009,COMP-0001,Telephone,GRP-0007_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0010,COMP-0001,Insurance,GRP-0007_COMP-0001,0,,TRUE,2024-01-01,2024-05-01
LED-0011,COMP-0002,Capital Account,GRP-0001_COMP-0002,0,,TRUE,2024-01-01,2024-05-01
LED-0012,COMP-0002,Bank of India,GRP-0002_COMP-0002,50000,,TRUE,2024-01-01,2024-05-01
LED-0013,COMP-0002,HDFC Bank,GRP-0002_COMP-0002,0,,TRUE,2024-01-01,2024-05-01
LED-0014,COMP-0002,Cash,GRP-0003_COMP-0002,0,,TRUE,2024-01-01,2024-05-01
LED-0015,COMP-0002,Sales Account,GRP-0004_COMP-0002,0,,TRUE,2024-01-01,2024-05-01
LED-0016,COMP-0002,Purchase Account,GRP-0005_COMP-0002,0,,TRUE,2024-01-01,2024-05-01
LED-0017,COMP-0002,Salary,GRP-0006_COMP-0002,0,,TRUE,2024-01-01,2024-05-01
LED-0018,COMP-0002,Rent,GRP-0006_COMP-0002,0,,TRUE,2024-01-01,2024-05-01
LED-0019,COMP-0002,Telephone,GRP-0007_COMP-0002,0,,TRUE,2024-01-01,2024-05-01
LED-0020,COMP-0002,Insurance,GRP-0007_COMP-0002,0,,TRUE,2024-01-01,2024-05-01
LED-0021,COMP-0003,Capital Account,GRP-0001_COMP-0003,0,,TRUE,2024-01-01,2024-05-01
LED-0022,COMP-0003,Bank of India,GRP-0002_COMP-0003,0,,TRUE,2024-01-01,2024-05-01
LED-0023,COMP-0003,HDFC Bank,GRP-0002_COMP-0003,10000,,TRUE,2024-01-01,2024-05-01
LED-0024,COMP-0003,Cash,GRP-0003_COMP-0003,0,,TRUE,2024-01-01,2024-05-01
LED-0025,COMP-0003,Sales Account,GRP-0004_COMP-0003,0,,TRUE,2024-01-01,2024-05-01
LED-0026,COMP-0003,Purchase Account,GRP-0005_COMP-0003,0,,TRUE,2024-01-01,2024-05-01
LED-0027,COMP-0003,Salary,GRP-0006_COMP-0003,0,,TRUE,2024-01-01,2024-05-01
LED-0028,COMP-0003,Rent,GRP-0006_COMP-0003,0,,TRUE,2024-01-01,2024-05-01
LED-0029,COMP-0003,Telephone,GRP-0007_COMP-0003,0,,TRUE,2024-01-01,2024-05-01
LED-0030,COMP-0003,Insurance,GRP-0007_COMP-0003,0,,TRUE,2024-01-01,2024-05-01
LED-0031,COMP-0004,Capital Account,GRP-0001_COMP-0004,0,,TRUE,2024-01-01,2024-05-01
LED-0032,COMP-0004,Bank of India,GRP-0002_COMP-0004,10000,,TRUE,2024-01-01,2024-05-01
LED-0033,COMP-0004,HDFC Bank,GRP-0002_COMP-0004,0,,TRUE,2024-01-01,2024-05-01
LED-0034,COMP-0004,Cash,GRP-0003_COMP-0004,50000,,TRUE,2024-01-01,2024-05-01
LED-0035,COMP-0004,Sales Account,GRP-0004_COMP-0004,0,,TRUE,2024-01-01,2024-05-01
