OrderID,CompanyID,OrderType,OrderNo,OrderDate,PartyID,ReferenceNo,ItemID,Qty,Rate,Amount,Status,ExpectedDate,Narration,CreatedAt,UpdatedAt,Version
ORD-0001,COMP-0001,Purchase Order,PO-000001,2024-05-10,PTY-0008,REF-000001,ITM-0007_COMP-0001,9,7000,63000,Pending,2024-05-31,Purchase Order for Vikram Sharma Suppliers,2024-05-10 00:00:00,2024-06-30 08:00:00,1
ORD-0002,COMP-0001,Purchase Order,PO-000002,2024-06-21,PTY-0008,REF-000002,ITM-0009_COMP-0001,8,1050,8400,Confirmed,2024-07-11,Purchase Order for Vikram Sharma Suppliers,2024-06-21 00:00:00,2024-06-30 08:00:00,1
ORD-0003,COMP-0001,Purchase Order,PO-000003,2024-04-11,PTY-0014,REF-000003,ITM-0008_COMP-0001,5,630,3150,Completed,2024-04-18,Purchase Order for Amit Gupta Suppliers,2024-04-11 00:00:00,2024-06-30 08:00:00,1
ORD-0004,COMP-0001,Purchase Order,PO-000004,2024-05-03,PTY-0015,REF-000004,ITM-0007_COMP-0001,7,7000,49000,Completed,2024-05-13,Purchase Order for Amit Gupta Suppliers,2024-05-03 00:00:00,2024-06-30 08:00:00,1
ORD-0005,COMP-0001,Purchase Order,PO-000005,2024-05-08,PTY-0009,REF-000005,ITM-0002_COMP-0001,5,38500,192500,Completed,2024-05-20,Purchase Order for Priya Kumar Traders,2024-05-08 00:00:00,2024-06-30 08:00:00,1
ORD-0006,COMP-0001,Sales Order,SO-000006,2024-05-17,PTY-0016,REF-000006,ITM-0002_COMP-0001,5,55000,275000,Completed,2024-05-27,Sales Order for Priya Gupta Distributors,2024-05-17 00:00:00,2024-06-30 08:00:00,1
ORD-0007,COMP-0001,Purchase Order,PO-000007,2024-06-17,PTY-0007,REF-000007,ITM-0007_COMP-0001,4,7000,28000,Confirmed,2024-07-16,Purchase Order for Amit Gupta Suppliers,2024-06-17 00:00:00,2024-06-30 08:00:00,1
ORD-0008,COMP-0001,Sales Order,SO-000008,2024-06-13,PTY-0003,REF-000008,ITM-0003_COMP-0001,3,42000,126000,Completed,2024-06-26,Sales Order for Vikram Patel Traders,2024-06-13 00:00:00,2024-06-30 08:00:00,1
ORD-0009,COMP-0001,Sales Order,SO-000009,2024-06-13,PTY-0003,REF-000009,ITM-0006_COMP-0001,10,3500,35000,Pending,2024-06-20,Sales Order for Vikram Patel Traders,2024-06-13 00:00:00,2024-06-30 08:00:00,1
ORD-0010,COMP-0001,Sales Order,SO-000010,2024-06-29,PTY-0005,REF-000010,ITM-0003_COMP-0001,1,42000,42000,Completed,2024-07-15,Sales Order for Rajesh Sharma Traders,2024-06-29 00:00:00,2024-06-30 08:00:00,1
ORD-0011,COMP-0001,Purchase Order,PO-000011,2024-06-05,PTY-0011,REF-000011,ITM-0007_COMP-0001,8,7000,56000,Pending,2024-06-27,Purchase Order for Amit Kumar Suppliers,2024-06-05 00:00:00,2024-06-30 08:00:00,1
ORD-0012,COMP-0001,Purchase Order,PO-000012,2024-06-25,PTY-0006,REF-000012,ITM-0008_COMP-0001,7,630,4410,Pending,2024-07-14,Purchase Order for Amit Singh Suppliers,2024-06-25 00:00:00,2024-06-30 08:00:00,1
ORD-0013,COMP-0001,Purchase Order,PO-000013,2024-05-11,PTY-0015,REF-000013,ITM-0004_COMP-0001,10,84000,840000,Completed,2024-05-20,Purchase Order for Amit Gupta Suppliers,2024-05-11 00:00:00,2024-06-30 08:00:00,1
ORD-0014,COMP-0001,Purchase Order,PO-000014,2024-05-22,PTY-0011,REF-000014,ITM-0008_COMP-0001,7,630,4410,Cancelled,2024-06-13,Purchase Order for Amit Kumar Suppliers,2024-05-22 00:00:00,2024-06-30 08:00:00,1
ORD-0015,COMP-0001,Purchase Order,PO-000015,2024-06-25,PTY-0013,REF-000015,ITM-0006_COMP-0001,8,2450,19600,Confirmed,2024-07-25,Purchase Order for Neha Patel Suppliers,2024-06-25 00:00:00,2024-06-30 08:00:00,1
ORD-0016,COMP-0001,Purchase Order,PO-000016,2024-05-22,PTY-0014,REF-000016,ITM-0007_COMP-0001,1,7000,7000,Confirmed,2024-06-15,Purchase Order for Amit Gupta Suppliers,2024-05-22 00:00:00,2024-06-30 08:00:00,1
ORD-0017,COMP-0001,Purchase Order,PO-000017,2024-04-02,PTY-0007,REF-000017,ITM-0007_COMP-0001,5,7000,35000,Completed,2024-04-19,Purchase Order for Amit Gupta Suppliers,2024-04-02 00:00:00,2024-06-30 08:00:00,1
ORD-0018,COMP-0001,Sales Order,SO-000018,2024-04-24,PTY-0013,REF-000018,ITM-0006_COMP-0001,1,3500,3500,Completed,2024-05-10,Sales Order for Neha Patel Suppliers,2024-04-24 00:00:00,2024-06-30 08:00:00,1
ORD-0019,COMP-0001,Purchase Order,PO-000019,2024-06-08,PTY-0015,REF-000019,ITM-0003_COMP-0001,10,29399,293990,Completed,2024-07-02,Purchase Order for Amit Gupta Suppliers,2024-06-08 00:00:00,2024-06-30 08:00:00,1
ORD-0020,COMP-0001,Purchase Order,PO-000020,2024-04-19,PTY-0011,REF-000020,ITM-0005_COMP-0001,5,38500,192500,Confirmed,2024-04-30,Purchase Order for Amit Kumar Suppliers,2024-04-19 00:00:00,2024-06-30 08:00:00,1
ORD-0021,COMP-0001,Sales Order,SO-000021,2024-05-26,PTY-0016,REF-000021,ITM-0009_COMP-0001,6,1500,9000,Pending,2024-06-24,Sales Order for Priya Gupta Distributors,2024-05-26 00:00:00,2024-06-30 08:00:00,1
