LogID,CompanyID,ReminderType,ReferenceID,Message,Status,SentAt,CreatedAt
REM-0001,COMP-0001,PaymentDue,REF-0001,Payment reminder for outstanding invoices - REF-0001,Pending,2024-05-18 00:00:00,2024-05-18 00:00:00
REM-0002,COMP-0001,CustomerInactive,REF-0002,Customer inactivity alert - REF-0002,Failed,2024-05-12 00:00:00,2024-05-12 00:00:00
REM-0003,COMP-0001,CustomerInactive,REF-0003,Customer inactivity alert - REF-0003,Failed,2024-06-24 00:00:00,2024-06-24 00:00:00
REM-0004,COMP-0001,PaymentDue,REF-0004,Payment reminder for outstanding invoices - REF-0004,Pending,2024-06-01 00:00:00,2024-06-01 00:00:00
REM-0005,COMP-0001,LowStock,REF-0005,Low stock alert for items below reorder level - REF-0005,Sent,2024-05-09 00:00:00,2024-05-09 00:00:00
REM-0006,COMP-0001,ExpiryAlert,REF-0006,Expiry alert for batch items nearing expiry - REF-0006,Sent,2024-04-17 00:00:00,2024-04-17 00:00:00
REM-0007,COMP-0001,ExpiryAlert,REF-0007,Expiry alert for batch items nearing expiry - REF-0007,Sent,2024-05-09 00:00:00,2024-05-09 00:00:00
REM-0008,COMP-0001,LowStock,REF-0008,Low stock alert for items below reorder level - REF-0008,Failed,2024-05-15 00:00:00,2024-05-15 00:00:00
REM-0009,COMP-0001,PaymentDue,REF-0009,Payment reminder for outstanding invoices - REF-0009,Sent,2024-06-29 00:00:00,2024-06-29 00:00:00
REM-0010,COMP-0001,ExpiryAlert,REF-0010,Expiry alert for batch items nearing expiry - REF-0010,Pending,2024-06-28 00:00:00,2024-06-28 00:00:00
REM-0011,COMP-0001,PaymentDue,REF-0011,Payment reminder for outstanding invoices - REF-0011,Failed,2024-05-16 00:00:00,2024-05-16 00:00:00
REM-0012,COMP-0001,CustomerInactive,REF-0012,Customer inactivity alert - REF-0012,Sent,2024-04-19 00:00:00,2024-04-19 00:00:00
REM-0013,COMP-0002,ExpiryAlert,REF-0013,Expiry alert for batch items nearing expiry - REF-0013,Failed,2024-06-19 00:00:00,2024-06-19 00:00:00
REM-0014,COMP-0002,LowStock,REF-0014,Low stock alert for items below reorder level - REF-0014,Pending,2024-04-05 00:00:00,2024-04-05 00:00:00
REM-0015,COMP-0002,ExpiryAlert,REF-0015,Expiry alert for batch items nearing expiry - REF-0015,Pending,2024-06-15 00:00:00,2024-06-15 00:00:00
REM-0016,COMP-0002,ExpiryAlert,REF-0016,Expiry alert for batch items nearing expiry - REF-0016,Pending,2024-06-22 00:00:00,2024-06-22 00:00:00
REM-0017,COMP-0002,ExpiryAlert,REF-0017,Expiry alert for batch items nearing expiry - REF-0017,Sent,2024-04-24 00:00:00,2024-04-24 00:00:00
REM-0018,COMP-0003,PaymentDue,REF-0018,Payment reminder for outstanding invoices - REF-0018,Pending,2024-06-13 00:00:00,2024-06-13 00:00:00
REM-0019,COMP-0003,CustomerInactive,REF-0019,Customer inactivity alert - REF-0019,Pending,2024-06-08 00:00:00,2024-06-08 00:00:00
REM-0020,COMP-0003,ExpiryAlert,REF-0020,Expiry alert for batch items nearing expiry - REF-0020,Pending,2024-04-01 00:00:00,2024-04-01 00:00:00
REM-0021,COMP-0003,CustomerInactive,REF-0021,Customer inactivity alert - REF-0021,Failed,2024-04-03 00:00:00,2024-04-03 00:00:00
REM-0022,COMP-0003,LowStock,REF-0022,Low stock alert for items below reorder level - REF-0022,Failed,2024-05-05 00:00:00,2024-05-05 00:00:00
REM-0023,COMP-0003,ExpiryAlert,REF-0023,Expiry alert for batch items nearing expiry - REF-0023,Pending,2024-06-22 00:00:00,2024-06-22 00:00:00
REM-0024,COMP-0003,PaymentDue,REF-0024,Payment reminder for outstanding invoices - REF-0024,Failed,2024-04-14 00:00:00,2024-04-14 00:00:00
REM-0025,COMP-0003,PaymentDue,REF-0025,Payment reminder for outstanding invoices - REF-0025,Pending,2024-04-09 00:00:00,2024-04-09 00:00:00
REM-0026,COMP-0004,CustomerInactive,REF-0026,Customer inactivity alert - REF-0026,Pending,2024-06-02 00:00:00,2024-06-02 00:00:00
REM-0027,COMP-0004,LowStock,REF-0027,Low stock alert for items below reorder level - REF-0027,Pending,2024-06-19 00:00:00,2024-06-19 00:00:00
REM-0028,COMP-0004,LowStock,REF-0028,Low stock alert for items below reorder level - REF-0028,Sent,2024-05-06 00:00:00,2024-05-06 00:00:00
REM-0029,COMP-0004,PaymentDue,REF-0029,Payment reminder for outstanding invoices - REF-0029,Failed,2024-04-01 00:00:00,2024-04-01 00:00:00
REM-0030,COMP-0004,CustomerInactive,REF-0030,Customer inactivity alert - REF-0030,Failed,2024-04-10 00:00:00,2024-04-10 00:00:00
REM-0031,COMP-0004,PaymentDue,REF-0031,Payment reminder for outstanding invoices - REF-0031,Sent,2024-06-19 00:00:00,2024-06-19 00:00:00
REM-0032,COMP-0004,LowStock,REF-0032,Low stock alert for items below reorder level - REF-0032,Pending,2024-04-20 00:00:00,2024-04-20 00:00:00
REM-0033,COMP-0005,LowStock,REF-0033,Low stock alert for items below reorder level - REF-0033,Failed,2024-05-12 00:00:00,2024-05-12 00:00:00
REM-0034,COMP-0005,PaymentDue,REF-0034,Payment reminder for outstanding invoices - REF-0034,Sent,2024-05-10 00:00:00,2024-05-10 00:00:00
REM-0035,COMP-0005,ExpiryAlert,REF-0035,Expiry alert for batch items nearing expiry - REF-0035,Failed,2024-04-12 00:00:00,2024-04-12 00:00:00
REM-0036,COMP-0005,PaymentDue,REF-0036,Payment reminder for outstanding invoices - REF-0036,Sent,2024-06-03 00:00:00,2024-06-03 00:00:00
REM-0037,COMP-0005,CustomerInactive,REF-0037,Customer inactivity alert - REF-0037,Pending,2024-05-09 00:00:00,2024-05-09 00:00:00
REM-0038,COMP-0005,PaymentDue,REF-0038,Payment reminder for outstanding invoices - REF-0038,Failed,2024-05-21 00:00:00,2024-05-21 00:00:00
REM-0039,COMP-0005,CustomerInactive,REF-0039,Customer inactivity alert - REF-0039,Pending,2024-04-12 00:00:00,2024-04-12 00:00:00
