SettingID,CompanyID,SettingKey,SettingValue,Description,CreatedAt,UpdatedAt
SET-0001,COMP-0001,CompanyName,Company 0001,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0002,COMP-0001,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0003,COMP-0001,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0004,COMP-0001,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0005,COMP-0001,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0006,COMP-0001,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0007,COMP-0001,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0008,COMP-0001,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0009,COMP-0001,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0010,COMP-0001,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0011,COMP-0002,CompanyName,Company 0002,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0012,COMP-0002,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0013,COMP-0002,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0014,COMP-0002,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0015,COMP-0002,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0016,COMP-0002,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0017,COMP-0002,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0018,COMP-0002,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0019,COMP-0002,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0020,COMP-0002,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0021,COMP-0003,CompanyName,Company 0003,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0022,COMP-0003,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0023,COMP-0003,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0024,COMP-0003,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0025,COMP-0003,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0026,COMP-0003,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0027,COMP-0003,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0028,COMP-0003,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0029,COMP-0003,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0030,COMP-0003,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0031,COMP-0004,CompanyName,Company 0004,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0032,COMP-0004,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0033,COMP-0004,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0034,COMP-0004,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0035,COMP-0004,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0036,COMP-0004,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0037,COMP-0004,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0038,COMP-0004,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0039,COMP-0004,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0040,COMP-0004,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0041,COMP-0005,CompanyName,Company 0005,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0042,COMP-0005,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0043,COMP-0005,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0044,COMP-0005,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0045,COMP-0005,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0046,COMP-0005,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0047,COMP-0005,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0048,COMP-0005,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0049,COMP-0005,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0050,COMP-0005,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0051,COMP-0006,CompanyName,Company 0006,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0052,COMP-0006,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0053,COMP-0006,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0054,COMP-0006,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0055,COMP-0006,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0056,COMP-0006,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0057,COMP-0006,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0058,COMP-0006,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0059,COMP-0006,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0060,COMP-0006,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0061,COMP-0007,CompanyName,Company 0007,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0062,COMP-0007,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0063,COMP-0007,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0064,COMP-0007,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0065,COMP-0007,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0066,COMP-0007,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0067,COMP-0007,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0068,COMP-0007,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0069,COMP-0007,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0070,COMP-0007,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0071,COMP-0008,CompanyName,Company 0008,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0072,COMP-0008,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0073,COMP-0008,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0074,COMP-0008,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0075,COMP-0008,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0076,COMP-0008,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0077,COMP-0008,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0078,COMP-0008,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0079,COMP-0008,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0080,COMP-0008,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0081,COMP-0009,CompanyName,Company 0009,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0082,COMP-0009,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0083,COMP-0009,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0084,COMP-0009,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0085,COMP-0009,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0086,COMP-0009,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0087,COMP-0009,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0088,COMP-0009,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0089,COMP-0009,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0090,COMP-0009,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0091,COMP-0010,CompanyName,Company 0010,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0092,COMP-0010,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0093,COMP-0010,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0094,COMP-0010,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0095,COMP-0010,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0096,COMP-0010,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0097,COMP-0010,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
