BatchID,CompanyID,ItemID,BatchNo,Quantity,InwardDate,MfgDate,ExpDate,Rate,Value,AgeingDays,AgeingBucket,Location,CreatedAt,UpdatedAt
BAT-0001,COMP-0001,ITM-0003_COMP-0001,BTH-2024-0001,22,2024-04-18,2024-01-01,2025-12-31,29399,646778,13,0-30,Warehouse-B,2024-04-18 00:00:00,2024-05-01 08:00:00
BAT-0002,COMP-0001,ITM-0004_COMP-0001,BTH-2024-0002,28,2024-04-20,2024-01-01,2025-12-31,84000,2352000,11,0-30,Warehouse-B,2024-04-20 00:00:00,2024-05-01 08:00:00
BAT-0003,COMP-0001,ITM-0005_COMP-0001,BTH-2024-0003,14,2024-03-14,2024-01-01,2025-12-31,38500,539000,48,31-60,Warehouse-A,2024-03-14 00:00:00,2024-05-01 08:00:00
BAT-0004,COMP-0001,ITM-0006_COMP-0001,BTH-2024-0004,26,2024-04-19,2024-01-01,2025-12-31,2450,63700,12,0-30,Warehouse-A,2024-04-19 00:00:00,2024-05-01 08:00:00
BAT-0005,COMP-0001,ITM-0009_COMP-0001,BTH-2024-0005,10,2024-04-08,2024-01-01,2025-12-31,1050,10500,23,0-30,Warehouse-C,2024-04-08 00:00:00,2024-05-01 08:00:00
BAT-0006,COMP-0002,ITM-0003_COMP-0002,BTH-2024-0006,7,2024-03-04,2024-01-01,2025-12-31,29399,205793,58,31-60,Warehouse-A,2024-03-04 00:00:00,2024-05-01 08:00:00
BAT-0007,COMP-0002,ITM-0004_COMP-0002,BTH-2024-0007,25,2024-04-21,2024-01-01,2025-12-31,84000,2100000,10,0-30,Warehouse-B,2024-04-21 00:00:00,2024-05-01 08:00:00
BAT-0008,COMP-0002,ITM-0005_COMP-0002,BTH-2024-0008,21,2024-04-25,2024-01-01,2025-12-31,38500,808500,6,0-30,Warehouse-B,2024-04-25 00:00:00,2024-05-01 08:00:00
BAT-0009,COMP-0002,ITM-0006_COMP-0002,BTH-2024-0009,13,2024-03-03,2024-01-01,2025-12-31,2450,31850,59,31-60,Warehouse-C,2024-03-03 00:00:00,2024-05-01 08:00:00
BAT-0010,COMP-0002,ITM-0009_COMP-0002,BTH-2024-0010,30,2024-03-01,2024-01-01,2025-12-31,1050,31500,61,31-60,Warehouse-B,2024-03-01 00:00:00,2024-05-01 08:00:00
BAT-0011,COMP-0003,ITM-0003_COMP-0003,BTH-2024-0011,28,2024-03-26,2024-01-01,2025-12-31,29399,823172,36,31-60,Warehouse-B,2024-03-26 00:00:00,2024-05-01 08:00:00
BAT-0012,COMP-0003,ITM-0004_COMP-0003,BTH-2024-0012,8,2024-04-01,2024-01-01,2025-12-31,84000,672000,30,0-30,Warehouse-C,2024-04-01 00:00:00,2024-05-01 08:00:00
BAT-0013,COMP-0003,ITM-0005_COMP-0003,BTH-2024-0013,16,2024-04-29,2024-01-01,2025-12-31,38500,616000,2,0-30,Warehouse-C,2024-04-29 00:00:00,2024-05-01 08:00:00
BAT-0014,COMP-0003,ITM-0006_COMP-0003,BTH-2024-0014,13,2024-03-21,2024-01-01,2025-12-31,2450,31850,41,31-60,Warehouse-B,2024-03-21 00:00:00,2024-05-01 08:00:00
BAT-0015,COMP-0003,ITM-0009_COMP-0003,BTH-2024-0015,18,2024-03-18,2024-01-01,2025-12-31,1050,18900,44,31-60,Warehouse-B,2024-03-18 00:00:00,2024-05-01 08:00:00
