LogID,CompanyID,WorkflowID,WorkflowName,TriggerType,StartTime,EndTime,Status,RecordsProcessed,ErrorMessage,DurationSeconds,CreatedAt
LOG-0001,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-01 02:40:00,2024-04-01 02:40:15,Success,3,,15,2024-04-01 02:40:00
LOG-0002,COMP-0001,WF-02,02_Tally_Ledger_Sync,Scheduled,2024-04-01 02:55:00,2024-04-01 02:55:45,Success,25,,45,2024-04-01 02:55:00
LOG-0003,COMP-0001,WF-03,03_Tally_Party_Sync,Scheduled,2024-04-01 02:00:00,2024-04-01 02:01:00,Success,15,,60,2024-04-01 02:00:00
LOG-0004,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-01 02:28:00,2024-04-01 02:30:30,Success,30,,150,2024-04-01 02:28:00
LOG-0005,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-01 02:23:00,2024-04-01 02:25:00,Failed,0,Connection timeout,0,2024-04-01 02:23:00
LOG-0006,COMP-0002,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-01 02:36:00,2024-04-01 02:36:15,Success,3,,15,2024-04-01 02:36:00
LOG-0007,COMP-0002,WF-02,02_Tally_Ledger_Sync,Scheduled,2024-04-01 02:50:00,2024-04-01 02:50:45,Success,25,,45,2024-04-01 02:50:00
LOG-0008,COMP-0002,WF-03,03_Tally_Party_Sync,Scheduled,2024-04-01 02:57:00,2024-04-01 02:58:00,Failed,0,Connection timeout,0,2024-04-01 02:57:00
LOG-0009,COMP-0002,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-01 02:06:00,2024-04-01 02:08:30,Success,30,,150,2024-04-01 02:06:00
LOG-0010,COMP-0002,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-01 02:52:00,2024-04-01 02:54:00,Success,50,,120,2024-04-01 02:52:00
LOG-0011,COMP-0003,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-01 02:33:00,2024-04-01 02:33:15,Success,3,,15,2024-04-01 02:33:00
LOG-0012,COMP-0003,WF-02,02_Tally_Ledger_Sync,Scheduled,2024-04-01 02:01:00,2024-04-01 02:01:45,Success,25,,45,2024-04-01 02:01:00
LOG-0013,COMP-0003,WF-03,03_Tally_Party_Sync,Scheduled,2024-04-01 02:16:00,2024-04-01 02:17:00,Success,15,,60,2024-04-01 02:16:00
