MappingID,UserID,CompanyID,AccessLevel,CreatedAt,UpdatedAt
MAP-0001,USR-0001,COMP-0001,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0002,USR-0002,COMP-0002,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0003,USR-0003,COMP-0003,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0004,USR-0004,COMP-0004,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0005,USR-0005,COMP-0005,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0006,USR-0006,COMP-0006,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0007,USR-0007,COMP-0007,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0008,USR-0008,COMP-0008,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0009,USR-0009,COMP-0009,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0010,USR-0010,COMP-0010,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0011,USR-0011,COMP-0011,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0012,USR-0012,COMP-0012,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0013,USR-0013,COMP-0013,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0014,USR-0014,COMP-0014,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0015,USR-0015,COMP-0015,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0016,USR-0016,COMP-0016,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0017,USR-0017,COMP-0017,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0018,USR-0018,COMP-0018,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0019,USR-0019,COMP-0019,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0020,USR-0020,COMP-0020,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0021,USR-0021,COMP-0021,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0022,USR-0022,COMP-0022,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0023,USR-0023,COMP-0023,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0024,USR-0024,COMP-0024,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0025,USR-0025,COMP-0025,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0026,USR-0026,COMP-0026,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0027,USR-0027,COMP-0027,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0028,USR-0028,COMP-0028,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0029,USR-0029,COMP-0029,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0030,USR-0030,COMP-0030,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0031,USR-0031,COMP-0031,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0032,USR-0032,COMP-0032,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0033,USR-0033,COMP-0033,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0034,USR-0034,COMP-0034,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0035,USR-0035,COMP-0035,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0036,USR-0036,COMP-0036,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0037,USR-0037,COMP-0037,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0038,USR-0038,COMP-0038,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0039,USR-0039,COMP-0039,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0040,USR-0040,COMP-0040,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0041,USR-0041,COMP-0041,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0042,USR-0042,COMP-0042,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0043,USR-0043,COMP-0043,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0044,USR-0044,COMP-0044,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0045,USR-0045,COMP-0045,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0046,USR-0046,COMP-0046,Full,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0047,USR-0047,COMP-0047,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0048,USR-0048,COMP-0048,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0049,USR-0049,COMP-0049,Write,2024-01-01 10:00:00,2024-05-01 08:00:00
MAP-0050,USR-0050,COMP-0050,Read,2024-01-01 10:00:00,2024-05-01 08:00:00
