LineID,VoucherID,CompanyID,LineType,ItemID,Qty,Rate,Amount,LedgerID,LedgerDebit,LedgerCredit,Narration,CreatedDate,LastModifiedDate
VL-0001,VCH-0001,COMP-0001,Ledger,,0,0,12882,LED-0007,12882,0,Expense booking,2024-04-14,2024-05-01
VL-0002,VCH-0001,COMP-0001,Ledger,,0,0,12882,LED-0002,0,12882,Payment,2024-04-14,2024-05-01
VL-0003,VCH-0002,COMP-0001,Item,ITM-0009_COMP-0001,6,1500,9000,,0,0,,2024-05-29,2024-05-01
VL-0004,VCH-0002,COMP-0001,Item,ITM-0008_COMP-0001,5,900,4500,,0,0,,2024-05-29,2024-05-01
VL-0005,VCH-0003,COMP-0001,Ledger,,0,0,7754,LED-0009,7754,0,Expense booking,2024-04-16,2024-05-01
VL-0006,VCH-0003,COMP-0001,Ledger,,0,0,7754,LED-0002,0,7754,Payment,2024-04-16,2024-05-01
VL-0007,VCH-0004,COMP-0001,Item,ITM-0007_COMP-0001,8,10000,80000,,0,0,,2024-05-26,2024-05-01
VL-0008,VCH-0004,COMP-0001,Item,ITM-0006_COMP-0001,5,3500,17500,,0,0,,2024-05-26,2024-05-01
VL-0009,VCH-0004,COMP-0001,Item,ITM-0001_COMP-0001,6,65000,390000,,0,0,,2024-05-26,2024-05-01
VL-0010,VCH-0005,COMP-0001,Item,ITM-0007_COMP-0001,4,10000,40000,,0,0,,2024-04-13,2024-05-01
VL-0011,VCH-0005,COMP-0001,Item,ITM-0004_COMP-0001,7,120000,840000,,0,0,,2024-04-13,2024-05-01
VL-0012,VCH-0005,COMP-0001,Item,ITM-0003_COMP-0001,3,42000,126000,,0,0,,2024-04-13,2024-05-01
VL-0013,VCH-0006,COMP-0001,Item,ITM-0007_COMP-0001,1,10000,10000,,0,0,,2024-06-16,2024-05-01
VL-0014,VCH-0006,COMP-0001,Item,ITM-0002_COMP-0001,4,55000,220000,,0,0,,2024-06-16,2024-05-01
VL-0015,VCH-0006,COMP-0001,Item,ITM-0006_COMP-0001,2,3500,7000,,0,0,,2024-06-16,2024-05-01
VL-0016,VCH-0007,COMP-0001,Item,ITM-0005_COMP-0001,2,55000,110000,,0,0,,2024-04-29,2024-05-01
VL-0017,VCH-0007,COMP-0001,Item,ITM-0004_COMP-0001,5,120000,600000,,0,0,,2024-04-29,2024-05-01
VL-0018,VCH-0007,COMP-0001,Item,ITM-0001_COMP-0001,4,65000,260000,,0,0,,2024-04-29,2024-05-01
VL-0019,VCH-0008,COMP-0001,Item,ITM-0007_COMP-0001,4,10000,40000,,0,0,,2024-06-19,2024-05-01
VL-0020,VCH-0008,COMP-0001,Item,ITM-0002_COMP-0001,5,55000,275000,,0,0,,2024-06-19,2024-05-01
VL-0021,VCH-0009,COMP-0001,Item,ITM-0005_COMP-0001,1,55000,55000,,0,0,,2024-06-03,2024-05-01
VL-0022,VCH-0009,COMP-0001,Item,ITM-0009_COMP-0001,2,1500,3000,,0,0,,2024-06-03,2024-05-01
VL-0023,VCH-0010,COMP-0001,Item,ITM-0005_COMP-0001,6,55000,330000,,0,0,,2024-04-24,2024-05-01
VL-0024,VCH-0010,COMP-0001,Item,ITM-0004_COMP-0001,2,120000,240000,,0,0,,2024-04-24,2024-05-01
VL-0025,VCH-0010,COMP-0001,Item,ITM-0002_COMP-0001,3,55000,165000,,0,0,,2024-04-24,2024-05-01
VL-0026,VCH-0011,COMP-0001,Item,ITM-0001_COMP-0001,8,65000,520000,,0,0,,2024-04-24,2024-05-01
VL-0027,VCH-0012,COMP-0001,Item,ITM-0002_COMP-0001,1,55000,55000,,0,0,,2024-05-25,2024-05-01
VL-0028,VCH-0012,COMP-0001,Item,ITM-0003_COMP-0001,6,42000,252000,,0,0,,2024-05-25,2024-05-01
VL-0029,VCH-0013,COMP-0001,Item,ITM-0008_COMP-0001,2,900,1800,,0,0,,2024-05-31,2024-05-01
VL-0030,VCH-0014,COMP-0001,Ledger,,0,0,23588,LED-0009,23588,0,Expense booking,2024-04-06,2024-05-01
VL-0031,VCH-0014,COMP-0001,Ledger,,0,0,23588,LED-0002,0,23588,Payment,2024-04-06,2024-05-01
VL-0032,VCH-0015,COMP-0001,Item,ITM-0002_COMP-0001,2,55000,110000,,0,0,,2024-04-30,2024-05-01
VL-0033,VCH-0016,COMP-0001,Ledger,,0,0,15999,LED-0010,15999,0,Expense booking,2024-05-09,2024-05-01
VL-0034,VCH-0016,COMP-0001,Ledger,,0,0,15999,LED-0002,0,15999,Payment,2024-05-09,2024-05-01
VL-0035,VCH-0017,COMP-0001,Ledger,,0,0,22881,LED-0009,22881,0,Expense booking,2024-06-02,2024-05-01
VL-0036,VCH-0017,COMP-0001,Ledger,,0,0,22881,LED-0002,0,22881,Payment,2024-06-02,2024-05-01
VL-0037,VCH-0018,COMP-0001,Item,ITM-0001_COMP-0001,5,65000,325000,,0,0,,2024-06-24,2024-05-01
VL-0038,VCH-0018,COMP-0001,Item,ITM-0006_COMP-0001,6,3500,21000,,0,0,,2024-06-24,2024-05-01
VL-0039,VCH-0019,COMP-0001,Ledger,,0,0,24521,LED-0010,24521,0,Expense booking,2024-06-06,2024-05-01
VL-0040,VCH-0019,COMP-0001,Ledger,,0,0,24521,LED-0002,0,24521,Payment,2024-06-06,2024-05-01
