VoucherID,CompanyID,VoucherNo,VoucherType,VoucherDate,PartyID,PartyName,SubTotal,TaxAmount,GrandTotal,Narration,Status,CreatedDate,LastModifiedDate
VCH-2723,COMP-0001,RCP-002723,Receipt,2024-04-05,PTY-0001,Neha Sharma Traders,25000,0,25000,Receipt from Neha Sharma Traders,Posted,2024-04-05,2024-05-01
VCH-0001,COMP-0001,JOU-000001,Journal,2024-04-14,,,12882,0,12882,Journal voucher,Posted,2024-04-14,2024-05-01
VCH-0002,COMP-0001,SAL-000002,Sales,2024-05-29,PTY-0001,Neha Sharma Traders,13500,2430,15930,Sales to Neha Sharma Traders,Posted,2024-05-29,2024-05-01
VCH-0003,COMP-0001,JOU-000003,Journal,2024-04-16,,,7754,0,7754,Journal voucher,Posted,2024-04-16,2024-05-01
VCH-0004,COMP-0001,SAL-000004,Sales,2024-05-26,PTY-0013,Neha Patel Suppliers,487500,87750,575250,Sales to Neha Patel Suppliers,Posted,2024-05-26,2024-05-01
VCH-0005,COMP-0001,SAL-000005,Sales,2024-04-13,PTY-0013,Neha Patel Suppliers,1006000,181080,1187080,Sales to Neha Patel Suppliers,Posted,2024-04-13,2024-05-01
VCH-0006,COMP-0001,SAL-000006,Sales,2024-06-16,PTY-0016,Priya Gupta Distributors,237000,42660,279660,Sales to Priya Gupta Distributors,Posted,2024-06-16,2024-05-01
VCH-0007,COMP-0001,SAL-000007,Sales,2024-04-29,PTY-0002,Amit Gupta Distributors,970000,174600,1144600,Sales to Amit Gupta Distributors,Posted,2024-04-29,2024-05-01
VCH-0008,COMP-0001,PUR-000008,Purchase,2024-06-19,PTY-0013,Neha Patel Suppliers,315000,56700,371700,Purchase to Neha Patel Suppliers,Posted,2024-06-19,2024-05-01
VCH-0009,COMP-0001,SAL-000009,Sales,2024-06-03,PTY-0007,Amit Gupta Suppliers,58000,10440,68440,Sales to Amit Gupta Suppliers,Posted,2024-06-03,2024-05-01
VCH-0010,COMP-0001,PUR-000010,Purchase,2024-04-24,PTY-0016,Priya Gupta Distributors,735000,132300,867300,Purchase to Priya Gupta Distributors,Posted,2024-04-24,2024-05-01
VCH-0011,COMP-0001,SAL-000011,Sales,2024-04-24,PTY-0015,Amit Gupta Suppliers,520000,93600,613600,Sales to Amit Gupta Suppliers,Posted,2024-04-24,2024-05-01
VCH-0012,COMP-0001,SAL-000012,Sales,2024-05-25,PTY-0006,Amit Singh Suppliers,307000,55260,362260,Sales to Amit Singh Suppliers,Posted,2024-05-25,2024-05-01
VCH-0013,COMP-0001,PUR-000013,Purchase,2024-05-31,PTY-0016,Priya Gupta Distributors,1800,324,2124,Purchase to Priya Gupta Distributors,Posted,2024-05-31,2024-05-01
VCH-0014,COMP-0001,JOU-000014,Journal,2024-04-06,,,23588,0,23588,Journal voucher,Posted,2024-04-06,2024-05-01
VCH-0015,COMP-0001,PUR-000015,Purchase,2024-04-30,PTY-0006,Amit Singh Suppliers,110000,19800,129800,Purchase to Amit Singh Suppliers,Posted,2024-04-30,2024-05-01
VCH-0016,COMP-0001,JOU-000016,Journal,2024-05-09,,,15999,0,15999,Journal voucher,Posted,2024-05-09,2024-05-01
VCH-0017,COMP-0001,JOU-000017,Journal,2024-06-02,,,22881,0,22881,Journal voucher,Posted,2024-06-02,2024-05-01
VCH-0018,COMP-0001,PUR-000018,Purchase,2024-06-24,PTY-0012,Rajesh Gupta Suppliers,346000,62280,408280,Purchase to Rajesh Gupta Suppliers,Posted,2024-06-24,2024-05-01
VCH-0019,COMP-0001,JOU-000019,Journal,2024-06-06,,,24521,0,24521,Journal voucher,Posted,2024-06-06,2024-05-01
VCH-0020,COMP-0001,SAL-000020,Sales,2024-04-15,PTY-0001,Neha Sharma Traders,40000,7200,47200,Sales to Neha Sharma Traders,Posted,2024-04-15,2024-05-01
VCH-0021,COMP-0001,JOU-000021,Journal,2024-06-24,,,16704,0,16704,Journal voucher,Posted,2024-06-24,2024-05-01
VCH-0022,COMP-0001,SAL-000022,Sales,2024-04-04,PTY-0014,Amit Gupta Suppliers,865000,155700,1020700,Sales to Amit Gupta Suppliers,Posted,2024-04-04,2024-05-01
VCH-0023,COMP-0001,SAL-000023,Sales,2024-06-21,PTY-0009,Priya Kumar Traders,339000,61020,400020,Sales to Priya Kumar Traders,Posted,2024-06-21,2024-05-01
VCH-0024,COMP-0001,SAL-000024,Sales,2024-05-13,PTY-0014,Amit Gupta Suppliers,775000,139500,914500,Sales to Amit Gupta Suppliers,Posted,2024-05-13,2024-05-01
VCH-0025,COMP-0001,SAL-000025,Sales,2024-06-18,PTY-0015,Amit Gupta Suppliers,638500,114930,753430,Sales to Amit Gupta Suppliers,Posted,2024-06-18,2024-05-01
VCH-0026,COMP-0001,PUR-000026,Purchase,2024-05-30,PTY-0010,Priya Gupta Traders,223800,40284,264084,Purchase to Priya Gupta Traders,Posted,2024-05-30,2024-05-01
VCH-0027,COMP-0001,SAL-000027,Sales,2024-05-08,PTY-0002,Amit Gupta Distributors,110000,19800,129800,Sales to Amit Gupta Distributors,Posted,2024-05-08,2024-05-01
