Page Name,Page Path,Tally Hook(s) Used,Tally Template ID(s),Tally Columns AVAILABLE,Tally Columns MISSING (Falls Back to Google Sheets),Google Sheets Columns Used as Fallback,Fallback Logic,Estimated Tally Coverage,Why Partial
"Dashboard","src/pages/Dashboard.jsx","useTallyDashboardTemplates, useTallyDashboardSummary","1,5,10,11,13,14,23,30,57","totalReceivables, receivablePartyCount, totalPayables, payablePartyCount, salesComparison.todaySales, salesComparison.lastWeekSales, salesComparison.salesDifferencePercent, weeklyMis.weekStartDate, weeklyMis.weekEndDate, weeklyMis.weeklySales, weeklyMis.weeklySalesVoucherCount, weeklyMis.weeklyExpenses, weeklyMis.cashInflow, weeklyMis.cashOutflow, weeklyMis.netCashFlow, weeklyMis.topCustomerName, weeklyMis.topVendorName, todaySales, todaySalesInvoiceCount, totalSales, totalSalesInvoiceCount, cashInHand, bankBalance, cashAccountCount, bankAccountCount, grossProfit, netProfit","itemCount, partyCount, topSellingItems, categoryBreakdown, openOrders, recentTransactions, salesTrendDetails, topCustomersList, topVendorsList, bankAccountDetails (IFSC, accountNo, branchName), pendingOrders, overdueAmount, stockSummary","items (ItemID, ItemName), parties (PartyID, PartyName), vouchers (VoucherID, GrandTotal, VoucherType), bankAccounts (AccountNumber, IFSC, BankName, BranchName), orders (OrderID, OrderNo, Status)","Per-template hasTallyTemplate(n) check; Tally overrides individual KPIs; Google Sheets fills remaining",55%,"Dashboard is the most complex page with the most data sources. Tally covers financial KPIs well but misses inventory, order, party detail, and bank detail data."
"Outstanding","src/pages/Outstanding.jsx","useTallyOutstanding","2,3,4,7,32,34,35,37,41,42","receivables (partyName, totalOutstanding, transactionCount, aging.notDue, aging.overdue0to30, aging.overdue31to60, aging.overdue61to90, aging.over90, invoiceAging), payables, customerTotal, vendorTotal, customerAgingRows, receivablePartyAging, customerBills, customerRisk, msmePayables, discountPayables","partyPhone, partyEmail, partyAddress, partyGSTIN, partyPAN, creditLimit, creditDays, salesPerson, city, state, PIN, openingBalance","parties (Phone, Email, Address, GSTIN, PAN, CreditLimit, CreditDays, SalesPerson, City, State, PIN, OpeningBalance)","Tally for receivables/payables aging; Google Sheets for party contact details and credit info",70%,"Tally provides excellent aging data and bill-level detail. However, party contact info (phone, email, GSTIN) and credit terms only available from Google Sheets. The two sources are merged."
"PartyStatement","src/pages/PartyStatement.jsx","useTallyPartyStatement","28,2","transactions (date, voucherNo, type, particulars, debit, credit, amount, balance)","partyGSTIN, partyPAN, partyAddress, partyPhone, partyEmail, creditLimit, creditDays, salesPerson, openingBalance, city, state","parties (GSTIN, PAN, Address, Phone, Email, CreditLimit, CreditDays, SalesPerson, OpeningBalance, City, State)","Tally for statement transactions; Google Sheets for party metadata and opening balance",65%,"Tally provides live transaction data. Party profile/metadata only from Google Sheets. Both sources coexist in parallel."
"CashBankPage","src/pages/CashBankPage.jsx","useTallyCashBank","17,27,38","accounts (name, group, openingBalance, closingBalance), cashPositionLastWeek","accountNumber, IFSC, branchName, bankName, accountType, isActive, location, lastSyncDate, AccountID, CompanyID, LedgerID","bankAccounts (AccountNumber, IFSC, BranchName, BankName, AccountType, IsActive), cashAccounts (Location, LastSyncDate, AccountID)","Tally accounts merged with Google Sheets accounts; Tally balances override; Tally-only accounts appended to list",60%,"Tally provides balances well. Account details (IFSC, account number, branch) and metadata only from Google Sheets."
"SalesVouchers","src/pages/Vouchers/SalesVouchers.jsx","useTallyVouchers('sales')","18,23","voucherNo, date, party, amount, status, items","taxAmount, subTotal, narration, PartyID, voucherType distinction, GST breakup, HSN codes, line-item details","vouchers (TaxAmount, SubTotal, Narration, PartyID, VoucherType), voucherLines (ItemID, Qty, Rate, Amount, HSN, GST)","if tallyVouchers.length > 0 map Tally format; else filter Google Sheets by VoucherType === 'Sales'",50%,"Tally vouchers are basic - no tax breakup, no narration, no line-item detail. Google Sheets has much richer voucher data."
"PurchaseVouchers","src/pages/Vouchers/PurchaseVouchers.jsx","useTallyVouchers('purchase')","24","voucherNo, date, party, amount, status, items","taxAmount, subTotal, narration, PartyID, taxableAmount, GST details, HSN codes","vouchers (TaxAmount, SubTotal, Narration, PartyID, VoucherType), voucherLines (ItemID, Qty, Rate, Amount)","Same pattern as SalesVouchers - Tally priority, Google Sheets fallback",50%,"Same gap as SalesVouchers. Tally purchase vouchers lack tax/GST breakup and narration."
"PaymentVouchers","src/pages/Vouchers/PaymentVouchers.jsx","useTallyPaymentVouchers","8","voucherNo, date, partyName, amount, status","PartyID, narration, bankAccount, paymentMode, chequeNo, ledgerEntries, billReferences","vouchers (PartyID, Narration), voucherLines (LedgerID, LedgerDebit, LedgerCredit)","Tally priority; Google Sheets filter by VoucherType === 'Payment'",40%,"Tally payment vouchers are minimal - just party name, date, and amount. No bank details, no payment mode, no bill references."
"ReceiptVouchers","src/pages/Vouchers/ReceiptVouchers.jsx","useTallyReceiptPaymentVouchers","53","date, voucherNo, type, party, amount","PartyID, narration, bankAccount, paymentMode, ledgerEntries, billReferences","vouchers (PartyID, Narration), voucherLines (LedgerID, LedgerDebit, LedgerCredit)","Tally priority; Google Sheets filter by VoucherType === 'Receipt'",40%,"Same gap as PaymentVouchers. No bank account or bill reference details from Tally."
"JournalVouchers","src/pages/Vouchers/JournalVouchers.jsx","useTallyJournalDnCnVouchers","54","date, voucherNo, type, party, amount","debitEntries, creditEntries, ledgerBreakdown, narration, lineItems","vouchers (Narration), voucherLines (LineType, LedgerID, LedgerDebit, LedgerCredit, Narration)","Tally priority; filtered for type 'journal'",35%,"Journal vouchers need debit/credit entry breakdown. Tally only gives summary. Full ledger entries only from Google Sheets."
"CreditNoteVouchers","src/pages/Vouchers/CreditNoteVouchers.jsx","useTallyJournalDnCnVouchers","54","date, voucherNo, type, party, amount","originalInvoiceReference, taxReversal, reason, itemDetails, PartyID","vouchers (PartyID, Narration), voucherLines (ItemID, Qty, Rate, Amount)","Tally priority; filtered for type 'credit note'",35%,"Credit notes need original invoice reference and tax reversal details - missing from Tally."
